"id","year","title","url","pdf_url","file","bytes"
"2403.02691","2024","InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents","https://arxiv.org/abs/2403.02691","https://arxiv.org/pdf/2403.02691","2403.02691_InjecAgent_Benchmarking_Indirect_Prompt_Injections_in_Tool_Integrated_LLM_Agents.pdf","3183277"
"2406.13352","2024","AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents","https://arxiv.org/abs/2406.13352","https://arxiv.org/pdf/2406.13352","2406.13352_AgentDojo_Dynamic_Environment_to_Evaluate_Prompt_Injection_Attacks_and_Defenses.pdf","1042076"
"2407.12784","2024","AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases","https://arxiv.org/abs/2407.12784","https://arxiv.org/pdf/2407.12784","2407.12784_AgentPoison_Red_Teaming_LLM_Agents_via_Poisoning_Memory_or_Knowledge_Bases.pdf","5284297"
"2407.19354","2024","The Emerged Security and Privacy of LLM Agent: A Survey with Case Studies","https://arxiv.org/abs/2407.19354","https://arxiv.org/pdf/2407.19354","2407.19354_Emerged_Security_and_Privacy_of_LLM_Agent_Survey.pdf","27981657"
"2410.02644","2024","Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents","https://arxiv.org/abs/2410.02644","https://arxiv.org/pdf/2410.02644","2410.02644_Agent_Security_Bench_ASB.pdf","922877"
"2410.14923","2024","Imprompter: Tricking LLM Agents into Improper Tool Use","https://arxiv.org/abs/2410.14923","https://arxiv.org/pdf/2410.14923","2410.14923_Imprompter_Tricking_LLM_Agents_into_Improper_Tool_Use.pdf","5307953"
"2506.08837","2025","Design Patterns for Securing LLM Agents against Prompt Injections","https://arxiv.org/abs/2506.08837","https://arxiv.org/pdf/2506.08837","2506.08837_Design_Patterns_for_Securing_LLM_Agents_against_Prompt_Injections.pdf","1358691"
"2506.23844","2025","A Survey on Autonomy-Induced Security Risks in Large Model-Based Agents","https://arxiv.org/abs/2506.23844","https://arxiv.org/pdf/2506.23844","2506.23844_Survey_on_Autonomy_Induced_Security_Risks_in_Large_Model_Based_Agents.pdf","1063374"
"2507.06850","2025","The Dark Side of LLMs: Agent-based Attacks for Complete Computer Takeover","https://arxiv.org/abs/2507.06850","https://arxiv.org/pdf/2507.06850","2507.06850_Dark_Side_of_LLMs_Agent_based_Attacks_for_Complete_Computer_Takeover.pdf","1149034"
"2508.15310","2025","IPIGuard: A Novel Tool Dependency Graph-Based Defense Against Indirect Prompt Injection in LLM Agents","https://arxiv.org/abs/2508.15310","https://arxiv.org/pdf/2508.15310","2508.15310_IPIGuard_Tool_Dependency_Graph_Defense_Against_Indirect_Prompt_Injection.pdf","612766"
"2509.22830","2025","ChatInject: Abusing Chat Templates for Prompt Injection in LLM Agents","https://arxiv.org/abs/2509.22830","https://arxiv.org/pdf/2509.22830","2509.22830_ChatInject_Abusing_Chat_Templates_for_Prompt_Injection_in_LLM_Agents.pdf","822670"
"2511.15759","2025","Securing AI Agents Against Prompt Injection Attacks","https://arxiv.org/abs/2511.15759","https://arxiv.org/pdf/2511.15759","2511.15759_Securing_AI_Agents_Against_Prompt_Injection_Attacks.pdf","319314"
"2511.20920","2025","Securing the Model Context Protocol (MCP): Risks, Controls, and Governance","https://arxiv.org/abs/2511.20920","https://arxiv.org/pdf/2511.20920","2511.20920_Securing_Model_Context_Protocol_Risks_Controls_and_Governance.pdf","247836"
"2512.00136","2025","An Empirical Study on the Security Vulnerabilities of GPTs","https://arxiv.org/abs/2512.00136","https://arxiv.org/pdf/2512.00136","2512.00136_Empirical_Study_on_Security_Vulnerabilities_of_GPTs.pdf","7562931"
"2512.08290","2025","Systematization of Knowledge: Security and Safety in the Model Context Protocol Ecosystem","https://arxiv.org/abs/2512.08290","https://arxiv.org/pdf/2512.08290","2512.08290_SoK_Security_and_Safety_in_Model_Context_Protocol_Ecosystem.pdf","5210848"
"2602.22724","2026","AgentSentry: Mitigating Indirect Prompt Injection in LLM Agents via Temporal Causal Diagnostics and Context Purification","https://arxiv.org/abs/2602.22724","https://arxiv.org/pdf/2602.22724","2602.22724_AgentSentry_Mitigating_Indirect_Prompt_Injection_in_LLM_Agents.pdf","1532920"
"2603.12230","2026","Security Considerations for Artificial Intelligence Agents","https://arxiv.org/abs/2603.12230","https://arxiv.org/pdf/2603.12230","2603.12230_Security_Considerations_for_Artificial_Intelligence_Agents.pdf","413457"
"2606.04329","2026","From Untrusted Input to Trusted Memory: A Systematic Study of Memory Poisoning Attacks in LLM Agents","https://arxiv.org/abs/2606.04329","https://arxiv.org/pdf/2606.04329","2606.04329_Systematic_Study_of_Memory_Poisoning_Attacks_in_LLM_Agents.pdf","4981471"
"2606.10749","2026","Toward Secure LLM Agents: Threat Surfaces, Attacks, Defenses, and Evaluation","https://arxiv.org/abs/2606.10749","https://arxiv.org/pdf/2606.10749","2606.10749_Toward_Secure_LLM_Agents_Threat_Surfaces_Attacks_Defenses_Evaluation.pdf","1541012"
"2606.28450","2026","LLM agents security duality: a comprehensive survey of self-security and empowered cybersecurity","https://arxiv.org/abs/2606.28450","https://arxiv.org/pdf/2606.28450","2606.28450_LLM_Agents_Security_Duality_Survey.pdf","2919058"
